	match_url	date	score	home	guests	winner	home_goals	guests_goals
636	https://ru.corner-stats.com/zenit-st-petersburg-volga-nizhny-novgorod-27-10-2011/premier-league-russia/match/17442	27/10/11	3 : 0	 зенит 	волга	home	3	0
637	https://ru.corner-stats.com/dinamo-moscow-rubin-kazan-24-10-2011/premier-league-russia/match/17379	24/10/11	0 : 2	 динамо москва 	 рубин 	guests	0	2
638	https://ru.corner-stats.com/spartak-nalchik-lokomotiv-m-24-10-2011/premier-league-russia/match/17166	24/10/11	1 : 2	спартак-нальчик	 локомотив 	guests	1	2
639	https://ru.corner-stats.com/anzhi-makhachkala-cska-moscow-23-10-2011/premier-league-russia/match/16997	23/10/11	3 : 5	 анжи 	 цска 	guests	3	5
640	https://ru.corner-stats.com/spartak-m-tomsk-23-10-2011/premier-league-russia/match/17324	23/10/11	4 : 0	 спартак 	 томь 	home	4	0
641	https://ru.corner-stats.com/rostov-zenit-st-petersburg-23-10-2011/premier-league-russia/match/17441	23/10/11	1 : 3	 ростов 	 зенит 	guests	1	3
642	https://ru.corner-stats.com/kuban-krasnodar-krylya-samara-22-10-2011/premier-league-russia/match/17507	22/10/11	1 : 1	 кубань 	 крылья советов 	nobody	1	1
643	https://ru.corner-stats.com/terek-grozny-amkar-perm-22-10-2011/premier-league-russia/match/17251	22/10/11	1 : 0	 ахмат 	 амкар 	home	1	0
644	https://ru.corner-stats.com/volga-nizhny-novgorod-krasnodar-22-10-2011/premier-league-russia/match/17645	22/10/11	0 : 2	волга	 краснодар 	guests	0	2
645	https://ru.corner-stats.com/lokomotiv-m-tomsk-16-10-2011/premier-league-russia/match/17164	16/10/11	3 : 0	 локомотив 	 томь 	home	3	0
646	https://ru.corner-stats.com/rubin-kazan-spartak-m-16-10-2011/premier-league-russia/match/17323	16/10/11	3 : 0	 рубин 	 спартак 	home	3	0
